"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-2042,1000000,0,0,0,0,0
3,-2039,1000000,1,0,0,0,0
7,-2035,1000000,0,0,0,0,0
26,-2016,1000000,1,0,0,0,0
30,-2012,1000000,0,0,0,0,0
39,-2003,1000000,1,0,0,0,0
88,-1954,1000000,0,0,0,0,0
133,-1909,1000000,1,0,0,0,0
194,-1848,1000000,0,0,0,0,0
199,-1843,1000000,1,0,0,0,0
208,-1834,1000000,0,0,0,0,0
213,-1829,1000000,1,0,0,0,0
217,-1825,1000000,0,0,0,0,0
240,-1802,1000000,1,0,0,0,0
301,-1741,1000000,0,0,0,0,0
346,-1696,1000000,1,0,0,0,0
1562,-480,1000000,0,0,0,0,0
1566,-476,1000000,1,0,0,0,0
1571,-471,1000000,0,0,0,0,0
1589,-453,1000000,1,0,0,0,0
1594,-448,1000000,0,0,0,0,0
1603,-439,1000000,1,0,0,0,0
1666,-376,1000000,0,0,0,0,0
1711,-331,1000000,1,0,0,0,0
1776,-266,1000000,0,0,0,0,0
1780,-262,1000000,1,0,0,0,0
1790,-252,1000000,0,0,0,0,0
1821,-221,1000000,1,0,0,0,0
1923,-119,1000000,0,0,0,0,0
1969,-73,1000000,1,0,0,0,0
2054,12,1000000,0,0,0,0,0
2058,16,1000000,1,0,0,0,0
2063,21,1000000,0,0,0,0,0
2099,57,1000000,1,0,0,0,0
2127,85,1000000,0,0,0,0,0
2172,130,1000000,1,0,0,0,0
2236,194,1000000,0,0,0,0,0
2245,203,1000000,1,0,0,0,0
2250,208,1000000,0,0,0,0,0
2254,212,1000000,1,0,0,0,0
2259,217,1000000,0,0,0,0,0
2282,240,1000000,1,0,0,0,0
2308,266,1000000,0,0,0,0,0
2353,311,1000000,1,0,0,0,0
4096,2054,1000000,1,0,0,0,0
