"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-2042,1000000,0,0,0,0,0
2,-2040,1000000,1,0,0,0,0
7,-2035,1000000,0,0,0,0,0
25,-2017,1000000,1,0,0,0,0
29,-2013,1000000,0,0,0,0,0
39,-2003,1000000,1,0,0,0,0
82,-1960,1000000,0,0,0,0,0
127,-1915,1000000,1,0,0,0,0
189,-1853,1000000,0,0,0,0,0
193,-1849,1000000,1,0,0,0,0
203,-1839,1000000,0,0,0,0,0
207,-1835,1000000,1,0,0,0,0
212,-1830,1000000,0,0,0,0,0
234,-1808,1000000,1,0,0,0,0
294,-1748,1000000,0,0,0,0,0
340,-1702,1000000,1,0,0,0,0
1556,-486,1000000,0,0,0,0,0
1561,-481,1000000,1,0,0,0,0
1565,-477,1000000,0,0,0,0,0
1584,-458,1000000,1,0,0,0,0
1588,-454,1000000,0,0,0,0,0
1597,-445,1000000,1,0,0,0,0
1659,-383,1000000,0,0,0,0,0
1705,-337,1000000,1,0,0,0,0
1770,-272,1000000,0,0,0,0,0
1775,-267,1000000,1,0,0,0,0
1784,-258,1000000,0,0,0,0,0
1816,-226,1000000,1,0,0,0,0
1917,-125,1000000,0,0,0,0,0
1962,-80,1000000,1,0,0,0,0
2044,2,1000000,0,0,0,0,0
2048,6,1000000,1,0,0,0,0
2053,11,1000000,0,0,0,0,0
2089,47,1000000,1,0,0,0,0
2120,78,1000000,0,0,0,0,0
2166,124,1000000,1,0,0,0,0
2231,189,1000000,0,0,0,0,0
2240,198,1000000,1,0,0,0,0
2244,202,1000000,0,0,0,0,0
2249,207,1000000,1,0,0,0,0
2254,212,1000000,0,0,0,0,0
2276,234,1000000,1,0,0,0,0
2301,259,1000000,0,0,0,0,0
2347,305,1000000,1,0,0,0,0
4096,2054,1000000,1,0,0,0,0
