"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-2042,2000000,0,0,0,0,0
3,-2039,2000000,1,0,0,0,0
7,-2035,2000000,0,0,0,0,0
26,-2016,2000000,1,0,0,0,0
30,-2012,2000000,0,0,0,0,0
39,-2003,2000000,1,0,0,0,0
131,-1911,2000000,0,0,0,0,0
176,-1866,2000000,1,0,0,0,0
240,-1802,2000000,0,0,0,0,0
244,-1798,2000000,1,0,0,0,0
253,-1789,2000000,0,0,0,0,0
258,-1784,2000000,1,0,0,0,0
262,-1780,2000000,0,0,0,0,0
285,-1757,2000000,1,0,0,0,0
343,-1699,2000000,0,0,0,0,0
388,-1654,2000000,1,0,0,0,0
1606,-436,2000000,0,0,0,0,0
1610,-432,2000000,1,0,0,0,0
1615,-427,2000000,0,0,0,0,0
1633,-409,2000000,1,0,0,0,0
1637,-405,2000000,0,0,0,0,0
1647,-395,2000000,1,0,0,0,0
1711,-331,2000000,0,0,0,0,0
1757,-285,2000000,1,0,0,0,0
1820,-222,2000000,0,0,0,0,0
1824,-218,2000000,1,0,0,0,0
1833,-209,2000000,0,0,0,0,0
1865,-177,2000000,1,0,0,0,0
1915,-127,2000000,0,0,0,0,0
1960,-82,2000000,1,0,0,0,0
2043,1,2000000,0,0,0,0,0
2047,5,2000000,1,0,0,0,0
2052,10,2000000,0,0,0,0,0
2061,19,2000000,1,0,0,0,0
2070,28,2000000,0,0,0,0,0
2075,33,2000000,1,0,0,0,0
2079,37,2000000,0,0,0,0,0
2088,46,2000000,1,0,0,0,0
2149,107,2000000,0,0,0,0,0
2195,153,2000000,1,0,0,0,0
2257,215,2000000,0,0,0,0,0
2266,224,2000000,1,0,0,0,0
2270,228,2000000,0,0,0,0,0
2275,233,2000000,1,0,0,0,0
2279,237,2000000,0,0,0,0,0
2302,260,2000000,1,0,0,0,0
2330,288,2000000,0,0,0,0,0
2375,333,2000000,1,0,0,0,0
4096,2054,2000000,1,0,0,0,0
