"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-3682,1000000,0,0,0,0,0
3,-3679,1000000,1,0,0,0,0
9,-3673,1000000,0,0,0,0,0
29,-3653,1000000,1,0,0,0,0
35,-3647,1000000,0,0,0,0,0
45,-3637,1000000,1,0,0,0,0
88,-3594,1000000,0,0,0,0,0
134,-3548,1000000,1,0,0,0,0
177,-3505,1000000,0,0,0,0,0
182,-3500,1000000,1,0,0,0,0
193,-3489,1000000,0,0,0,0,0
199,-3483,1000000,1,0,0,0,0
204,-3478,1000000,0,0,0,0,0
225,-3457,1000000,1,0,0,0,0
268,-3414,1000000,0,0,0,0,0
313,-3369,1000000,1,0,0,0,0
1506,-2176,1000000,0,0,0,0,0
1511,-2171,1000000,1,0,0,0,0
1517,-2165,1000000,0,0,0,0,0
1537,-2145,1000000,1,0,0,0,0
1543,-2139,1000000,0,0,0,0,0
1553,-2129,1000000,1,0,0,0,0
1596,-2086,1000000,0,0,0,0,0
1642,-2040,1000000,1,0,0,0,0
1690,-1992,1000000,0,0,0,0,0
1695,-1987,1000000,1,0,0,0,0
1707,-1975,1000000,0,0,0,0,0
1737,-1945,1000000,1,0,0,0,0
1780,-1902,1000000,0,0,0,0,0
1826,-1856,1000000,1,0,0,0,0
1869,-1813,1000000,0,0,0,0,0
1874,-1808,1000000,1,0,0,0,0
1880,-1802,1000000,0,0,0,0,0
1915,-1767,1000000,1,0,0,0,0
1958,-1724,1000000,0,0,0,0,0
2004,-1678,1000000,1,0,0,0,0
2174,-1508,1000000,0,0,0,0,0
2184,-1498,1000000,1,0,0,0,0
2190,-1492,1000000,0,0,0,0,0
2195,-1487,1000000,1,0,0,0,0
2201,-1481,1000000,0,0,0,0,0
2221,-1461,1000000,1,0,0,0,0
2264,-1418,1000000,0,0,0,0,0
2310,-1372,1000000,1,0,0,0,0
4096,414,1000000,1,0,0,0,0
