"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-3682,1000000,0,0,0,0,0
2,-3680,1000000,1,0,0,0,0
7,-3675,1000000,0,0,0,0,0
25,-3657,1000000,1,0,0,0,0
30,-3652,1000000,0,0,0,0,0
39,-3643,1000000,1,0,0,0,0
79,-3603,1000000,0,0,0,0,0
124,-3558,1000000,1,0,0,0,0
207,-3475,1000000,0,0,0,0,0
212,-3470,1000000,1,0,0,0,0
221,-3461,1000000,0,0,0,0,0
225,-3457,1000000,1,0,0,0,0
230,-3452,1000000,0,0,0,0,0
253,-3429,1000000,1,0,0,0,0
309,-3373,1000000,0,0,0,0,0
354,-3328,1000000,1,0,0,0,0
1145,-2537,1000000,0,0,0,0,0
1149,-2533,1000000,1,0,0,0,0
1154,-2528,1000000,0,0,0,0,0
1172,-2510,1000000,1,0,0,0,0
1177,-2505,1000000,0,0,0,0,0
1186,-2496,1000000,1,0,0,0,0
1252,-2430,1000000,0,0,0,0,0
1298,-2384,1000000,1,0,0,0,0
1372,-2310,1000000,0,0,0,0,0
1377,-2305,1000000,1,0,0,0,0
1381,-2301,1000000,0,0,0,0,0
1386,-2296,1000000,1,0,0,0,0
1395,-2287,1000000,0,0,0,0,0
1418,-2264,1000000,1,0,0,0,0
1501,-2181,1000000,0,0,0,0,0
1546,-2136,1000000,1,0,0,0,0
1609,-2073,1000000,0,0,0,0,0
1623,-2059,1000000,1,0,0,0,0
1627,-2055,1000000,0,0,0,0,0
1654,-2028,1000000,1,0,0,0,0
1704,-1978,1000000,0,0,0,0,0
1749,-1933,1000000,1,0,0,0,0
1918,-1764,1000000,0,0,0,0,0
1923,-1759,1000000,1,0,0,0,0
1927,-1755,1000000,0,0,0,0,0
1946,-1736,1000000,1,0,0,0,0
1950,-1732,1000000,0,0,0,0,0
1959,-1723,1000000,1,0,0,0,0
2029,-1653,1000000,0,0,0,0,0
2074,-1608,1000000,1,0,0,0,0
2200,-1482,1000000,0,0,0,0,0
2210,-1472,1000000,1,0,0,0,0
2219,-1463,1000000,0,0,0,0,0
2246,-1436,1000000,1,0,0,0,0
2295,-1387,1000000,0,0,0,0,0
2340,-1342,1000000,1,0,0,0,0
2405,-1277,1000000,0,0,0,0,0
2451,-1231,1000000,1,0,0,0,0
2530,-1152,1000000,0,0,0,0,0
2575,-1107,1000000,1,0,0,0,0
2637,-1045,1000000,0,0,0,0,0
2646,-1036,1000000,1,0,0,0,0
2651,-1031,1000000,0,0,0,0,0
2656,-1026,1000000,1,0,0,0,0
2660,-1022,1000000,0,0,0,0,0
2683,-999,1000000,1,0,0,0,0
2706,-976,1000000,0,0,0,0,0
2751,-931,1000000,1,0,0,0,0
4096,414,1000000,1,0,0,0,0
