"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-3682,2000000,0,0,0,0,0
2,-3680,2000000,1,0,0,0,0
7,-3675,2000000,0,0,0,0,0
25,-3657,2000000,1,0,0,0,0
29,-3653,2000000,0,0,0,0,0
39,-3643,2000000,1,0,0,0,0
84,-3598,2000000,0,0,0,0,0
129,-3553,2000000,1,0,0,0,0
193,-3489,2000000,0,0,0,0,0
198,-3484,2000000,1,0,0,0,0
207,-3475,2000000,0,0,0,0,0
212,-3470,2000000,1,0,0,0,0
216,-3466,2000000,0,0,0,0,0
239,-3443,2000000,1,0,0,0,0
296,-3386,2000000,0,0,0,0,0
342,-3340,2000000,1,0,0,0,0
1560,-2122,2000000,0,0,0,0,0
1565,-2117,2000000,1,0,0,0,0
1569,-2113,2000000,0,0,0,0,0
1587,-2095,2000000,1,0,0,0,0
1592,-2090,2000000,0,0,0,0,0
1601,-2081,2000000,1,0,0,0,0
1720,-1962,2000000,0,0,0,0,0
1765,-1917,2000000,1,0,0,0,0
1829,-1853,2000000,0,0,0,0,0
1833,-1849,2000000,1,0,0,0,0
1843,-1839,2000000,0,0,0,0,0
1874,-1808,2000000,1,0,0,0,0
1928,-1754,2000000,0,0,0,0,0
1973,-1709,2000000,1,0,0,0,0
2057,-1625,2000000,0,0,0,0,0
2070,-1612,2000000,1,0,0,0,0
2075,-1607,2000000,0,0,0,0,0
2102,-1580,2000000,1,0,0,0,0
2131,-1551,2000000,0,0,0,0,0
2176,-1506,2000000,1,0,0,0,0
2239,-1443,2000000,0,0,0,0,0
2248,-1434,2000000,1,0,0,0,0
2253,-1429,2000000,0,0,0,0,0
2257,-1425,2000000,1,0,0,0,0
2262,-1420,2000000,0,0,0,0,0
2284,-1398,2000000,1,0,0,0,0
2312,-1370,2000000,0,0,0,0,0
2357,-1325,2000000,1,0,0,0,0
4096,414,2000000,1,0,0,0,0
