"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-2042,1000000,0,0,0,0,0
2,-2040,1000000,1,0,0,0,0
7,-2035,1000000,0,0,0,0,0
25,-2017,1000000,1,0,0,0,0
29,-2013,1000000,0,0,0,0,0
39,-2003,1000000,1,0,0,0,0
152,-1890,1000000,0,0,0,0,0
197,-1845,1000000,1,0,0,0,0
262,-1780,1000000,0,0,0,0,0
267,-1775,1000000,1,0,0,0,0
276,-1766,1000000,0,0,0,0,0
280,-1762,1000000,1,0,0,0,0
285,-1757,1000000,0,0,0,0,0
308,-1734,1000000,1,0,0,0,0
364,-1678,1000000,0,0,0,0,0
410,-1632,1000000,1,0,0,0,0
1453,-589,1000000,0,0,0,0,0
1457,-585,1000000,1,0,0,0,0
1462,-580,1000000,0,0,0,0,0
1480,-562,1000000,1,0,0,0,0
1485,-557,1000000,0,0,0,0,0
1494,-548,1000000,1,0,0,0,0
1532,-510,1000000,0,0,0,0,0
1577,-465,1000000,1,0,0,0,0
1662,-380,1000000,0,0,0,0,0
1667,-375,1000000,1,0,0,0,0
1672,-370,1000000,0,0,0,0,0
1676,-366,1000000,1,0,0,0,0
1685,-357,1000000,0,0,0,0,0
1708,-334,1000000,1,0,0,0,0
1740,-302,1000000,0,0,0,0,0
1785,-257,1000000,1,0,0,0,0
1872,-170,1000000,0,0,0,0,0
1877,-165,1000000,1,0,0,0,0
1891,-151,1000000,0,0,0,0,0
1918,-124,1000000,1,0,0,0,0
1957,-85,1000000,0,0,0,0,0
2002,-40,1000000,1,0,0,0,0
2297,255,1000000,0,0,0,0,0
2301,259,1000000,1,0,0,0,0
2306,264,1000000,0,0,0,0,0
2324,282,1000000,1,0,0,0,0
2328,286,1000000,0,0,0,0,0
2338,296,1000000,1,0,0,0,0
2387,345,1000000,0,0,0,0,0
2432,390,1000000,1,0,0,0,0
2515,473,1000000,0,0,0,0,0
2525,483,1000000,1,0,0,0,0
2534,492,1000000,0,0,0,0,0
2561,519,1000000,1,0,0,0,0
2613,571,1000000,0,0,0,0,0
2658,616,1000000,1,0,0,0,0
2744,702,1000000,0,0,0,0,0
2780,738,1000000,1,0,0,0,0
2785,743,1000000,0,0,0,0,0
2789,747,1000000,1,0,0,0,0
2857,815,1000000,0,0,0,0,0
2903,861,1000000,1,0,0,0,0
3049,1007,1000000,0,0,0,0,0
3095,1053,1000000,1,0,0,0,0
3174,1132,1000000,0,0,0,0,0
3219,1177,1000000,1,0,0,0,0
3533,1491,1000000,0,0,0,0,0
3537,1495,1000000,1,0,0,0,0
3542,1500,1000000,0,0,0,0,0
3560,1518,1000000,1,0,0,0,0
3565,1523,1000000,0,0,0,0,0
3574,1532,1000000,1,0,0,0,0
3640,1598,1000000,0,0,0,0,0
3685,1643,1000000,1,0,0,0,0
3893,1851,1000000,0,0,0,0,0
3898,1856,1000000,1,0,0,0,0
3902,1860,1000000,0,0,0,0,0
3907,1865,1000000,1,0,0,0,0
3911,1869,1000000,0,0,0,0,0
3939,1897,1000000,1,0,0,0,0
3988,1946,1000000,0,0,0,0,0
4034,1992,1000000,1,0,0,0,0
4096,2054,1000000,1,0,0,0,0
