"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-406,100000,0,0,0,0,0
5,-401,100000,1,0,0,0,0
12,-394,100000,0,0,0,0,0
17,-389,100000,1,0,0,0,0
29,-377,100000,0,0,0,0,0
32,-374,100000,1,0,0,0,0
46,-360,100000,0,0,0,0,0
52,-354,100000,1,0,0,0,0
212,-194,100000,0,0,0,0,0
218,-188,100000,1,0,0,0,0
230,-176,100000,0,0,0,0,0
236,-170,100000,1,0,0,0,0
244,-162,100000,0,0,0,0,0
245,-161,100000,1,0,0,0,0
246,-160,100000,0,0,0,0,0
250,-156,100000,1,0,0,0,0
257,-149,100000,0,0,0,0,0
263,-143,100000,1,0,0,0,0
275,-131,100000,0,0,0,0,0
280,-126,100000,1,0,0,0,0
283,-123,100000,0,0,0,0,0
289,-117,100000,1,0,0,0,0
314,-92,100000,0,0,0,0,0
320,-86,100000,1,0,0,0,0
324,-82,100000,0,0,0,0,0
330,-76,100000,1,0,0,0,0
4096,3690,100000,1,0,0,0,0
