"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-406,100000,0,0,0,0,0
1,-405,100000,1,0,0,0,0
2,-404,100000,0,0,0,0,0
6,-400,100000,1,0,0,0,0
15,-391,100000,0,0,0,0,0
21,-385,100000,1,0,0,0,0
29,-377,100000,0,0,0,0,0
30,-376,100000,1,0,0,0,0
32,-374,100000,0,0,0,0,0
35,-371,100000,1,0,0,0,0
50,-356,100000,0,0,0,0,0
56,-350,100000,1,0,0,0,0
215,-191,100000,0,0,0,0,0
216,-190,100000,1,0,0,0,0
217,-189,100000,0,0,0,0,0
221,-185,100000,1,0,0,0,0
229,-177,100000,0,0,0,0,0
235,-171,100000,1,0,0,0,0
244,-162,100000,0,0,0,0,0
245,-161,100000,1,0,0,0,0
246,-160,100000,0,0,0,0,0
250,-156,100000,1,0,0,0,0
256,-150,100000,0,0,0,0,0
262,-144,100000,1,0,0,0,0
275,-131,100000,0,0,0,0,0
280,-126,100000,1,0,0,0,0
284,-122,100000,0,0,0,0,0
290,-116,100000,1,0,0,0,0
314,-92,100000,0,0,0,0,0
320,-86,100000,1,0,0,0,0
324,-82,100000,0,0,0,0,0
330,-76,100000,1,0,0,0,0
4096,3690,100000,1,0,0,0,0
