"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-2042,1000000,0,0,0,0,0
4,-2038,1000000,1,0,0,0,0
8,-2034,1000000,0,0,0,0,0
26,-2016,1000000,1,0,0,0,0
31,-2011,1000000,0,0,0,0,0
40,-2002,1000000,1,0,0,0,0
98,-1944,1000000,0,0,0,0,0
143,-1899,1000000,1,0,0,0,0
204,-1838,1000000,0,0,0,0,0
209,-1833,1000000,1,0,0,0,0
218,-1824,1000000,0,0,0,0,0
222,-1820,1000000,1,0,0,0,0
227,-1815,1000000,0,0,0,0,0
250,-1792,1000000,1,0,0,0,0
310,-1732,1000000,0,0,0,0,0
355,-1687,1000000,1,0,0,0,0
1571,-471,1000000,0,0,0,0,0
1576,-466,1000000,1,0,0,0,0
1581,-461,1000000,0,0,0,0,0
1599,-443,1000000,1,0,0,0,0
1603,-439,1000000,0,0,0,0,0
1613,-429,1000000,1,0,0,0,0
1675,-367,1000000,0,0,0,0,0
1721,-321,1000000,1,0,0,0,0
1786,-256,1000000,0,0,0,0,0
1790,-252,1000000,1,0,0,0,0
1799,-243,1000000,0,0,0,0,0
1831,-211,1000000,1,0,0,0,0
1933,-109,1000000,0,0,0,0,0
1978,-64,1000000,1,0,0,0,0
2064,22,1000000,0,0,0,0,0
2068,26,1000000,1,0,0,0,0
2073,31,1000000,0,0,0,0,0
2109,67,1000000,1,0,0,0,0
2137,95,1000000,0,0,0,0,0
2182,140,1000000,1,0,0,0,0
2369,327,1000000,0,0,0,0,0
2378,336,1000000,1,0,0,0,0
2383,341,1000000,0,0,0,0,0
2387,345,1000000,1,0,0,0,0
2392,350,1000000,0,0,0,0,0
2415,373,1000000,1,0,0,0,0
2439,397,1000000,0,0,0,0,0
2485,443,1000000,1,0,0,0,0
4096,2054,1000000,1,0,0,0,0
