"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-2042,2000000,0,0,0,0,0
4,-2038,2000000,1,0,0,0,0
9,-2033,2000000,0,0,0,0,0
27,-2015,2000000,1,0,0,0,0
31,-2011,2000000,0,0,0,0,0
40,-2002,2000000,1,0,0,0,0
100,-1942,2000000,0,0,0,0,0
145,-1897,2000000,1,0,0,0,0
209,-1833,2000000,0,0,0,0,0
214,-1828,2000000,1,0,0,0,0
223,-1819,2000000,0,0,0,0,0
227,-1815,2000000,1,0,0,0,0
232,-1810,2000000,0,0,0,0,0
255,-1787,2000000,1,0,0,0,0
312,-1730,2000000,0,0,0,0,0
357,-1685,2000000,1,0,0,0,0
1572,-470,2000000,0,0,0,0,0
1576,-466,2000000,1,0,0,0,0
1581,-461,2000000,0,0,0,0,0
1599,-443,2000000,1,0,0,0,0
1604,-438,2000000,0,0,0,0,0
1613,-429,2000000,1,0,0,0,0
1682,-360,2000000,0,0,0,0,0
1727,-315,2000000,1,0,0,0,0
1790,-252,2000000,0,0,0,0,0
1795,-247,2000000,1,0,0,0,0
1804,-238,2000000,0,0,0,0,0
1836,-206,2000000,1,0,0,0,0
1939,-103,2000000,0,0,0,0,0
1985,-57,2000000,1,0,0,0,0
2068,26,2000000,0,0,0,0,0
2073,31,2000000,1,0,0,0,0
2078,36,2000000,0,0,0,0,0
2114,72,2000000,1,0,0,0,0
2143,101,2000000,0,0,0,0,0
2188,146,2000000,1,0,0,0,0
2374,332,2000000,0,0,0,0,0
2383,341,2000000,1,0,0,0,0
2388,346,2000000,0,0,0,0,0
2392,350,2000000,1,0,0,0,0
2397,355,2000000,0,0,0,0,0
2419,377,2000000,1,0,0,0,0
2446,404,2000000,0,0,0,0,0
2491,449,2000000,1,0,0,0,0
4096,2054,2000000,1,0,0,0,0
