"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-3682,1000000,0,0,0,0,0
4,-3678,1000000,1,0,0,0,0
8,-3674,1000000,0,0,0,0,0
27,-3655,1000000,1,0,0,0,0
31,-3651,1000000,0,0,0,0,0
40,-3642,1000000,1,0,0,0,0
141,-3541,1000000,0,0,0,0,0
187,-3495,1000000,1,0,0,0,0
250,-3432,1000000,0,0,0,0,0
254,-3428,1000000,1,0,0,0,0
264,-3418,1000000,0,0,0,0,0
268,-3414,1000000,1,0,0,0,0
273,-3409,1000000,0,0,0,0,0
296,-3386,1000000,1,0,0,0,0
354,-3328,1000000,0,0,0,0,0
399,-3283,1000000,1,0,0,0,0
1617,-2065,1000000,0,0,0,0,0
1622,-2060,1000000,1,0,0,0,0
1626,-2056,1000000,0,0,0,0,0
1644,-2038,1000000,1,0,0,0,0
1649,-2033,1000000,0,0,0,0,0
1658,-2024,1000000,1,0,0,0,0
1723,-1959,1000000,0,0,0,0,0
1768,-1914,1000000,1,0,0,0,0
1831,-1851,1000000,0,0,0,0,0
1836,-1846,1000000,1,0,0,0,0
1845,-1837,1000000,0,0,0,0,0
1877,-1805,1000000,1,0,0,0,0
1927,-1755,1000000,0,0,0,0,0
1972,-1710,1000000,1,0,0,0,0
2054,-1628,1000000,0,0,0,0,0
2059,-1623,1000000,1,0,0,0,0
2063,-1619,1000000,0,0,0,0,0
2100,-1582,1000000,1,0,0,0,0
2157,-1525,1000000,0,0,0,0,0
2202,-1480,1000000,1,0,0,0,0
2392,-1290,1000000,0,0,0,0,0
2401,-1281,1000000,1,0,0,0,0
2405,-1277,1000000,0,0,0,0,0
2410,-1272,1000000,1,0,0,0,0
2414,-1268,1000000,0,0,0,0,0
2437,-1245,1000000,1,0,0,0,0
2496,-1186,1000000,0,0,0,0,0
2541,-1141,1000000,1,0,0,0,0
4096,414,1000000,1,0,0,0,0
