"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-2042,2000000,0,0,0,0,0
3,-2039,2000000,1,0,0,0,0
8,-2034,2000000,0,0,0,0,0
26,-2016,2000000,1,0,0,0,0
30,-2012,2000000,0,0,0,0,0
39,-2003,2000000,1,0,0,0,0
83,-1959,2000000,0,0,0,0,0
129,-1913,2000000,1,0,0,0,0
190,-1852,2000000,0,0,0,0,0
194,-1848,2000000,1,0,0,0,0
203,-1839,2000000,0,0,0,0,0
208,-1834,2000000,1,0,0,0,0
212,-1830,2000000,0,0,0,0,0
235,-1807,2000000,1,0,0,0,0
345,-1697,2000000,0,0,0,0,0
390,-1652,2000000,1,0,0,0,0
1610,-432,2000000,0,0,0,0,0
1615,-427,2000000,1,0,0,0,0
1619,-423,2000000,0,0,0,0,0
1638,-404,2000000,1,0,0,0,0
1642,-400,2000000,0,0,0,0,0
1651,-391,2000000,1,0,0,0,0
1714,-328,2000000,0,0,0,0,0
1759,-283,2000000,1,0,0,0,0
1820,-222,2000000,0,0,0,0,0
1824,-218,2000000,1,0,0,0,0
1833,-209,2000000,0,0,0,0,0
1865,-177,2000000,1,0,0,0,0
1917,-125,2000000,0,0,0,0,0
1962,-80,2000000,1,0,0,0,0
2043,1,2000000,0,0,0,0,0
2047,5,2000000,1,0,0,0,0
2052,10,2000000,0,0,0,0,0
2061,19,2000000,1,0,0,0,0
2070,28,2000000,0,0,0,0,0
2075,33,2000000,1,0,0,0,0
2079,37,2000000,0,0,0,0,0
2088,46,2000000,1,0,0,0,0
2115,73,2000000,0,0,0,0,0
2161,119,2000000,1,0,0,0,0
2225,183,2000000,0,0,0,0,0
2234,192,2000000,1,0,0,0,0
2239,197,2000000,0,0,0,0,0
2243,201,2000000,1,0,0,0,0
2248,206,2000000,0,0,0,0,0
2270,228,2000000,1,0,0,0,0
2296,254,2000000,0,0,0,0,0
2341,299,2000000,1,0,0,0,0
4096,2054,2000000,1,0,0,0,0
