"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-3682,1000000,0,0,0,0,0
4,-3678,1000000,1,0,0,0,0
9,-3673,1000000,0,0,0,0,0
30,-3652,1000000,1,0,0,0,0
36,-3646,1000000,0,0,0,0,0
46,-3636,1000000,1,0,0,0,0
89,-3593,1000000,0,0,0,0,0
134,-3548,1000000,1,0,0,0,0
177,-3505,1000000,0,0,0,0,0
183,-3499,1000000,1,0,0,0,0
194,-3488,1000000,0,0,0,0,0
199,-3483,1000000,1,0,0,0,0
205,-3477,1000000,0,0,0,0,0
225,-3457,1000000,1,0,0,0,0
268,-3414,1000000,0,0,0,0,0
314,-3368,1000000,1,0,0,0,0
357,-3325,1000000,0,0,0,0,0
362,-3320,1000000,1,0,0,0,0
368,-3314,1000000,0,0,0,0,0
388,-3294,1000000,1,0,0,0,0
394,-3288,1000000,0,0,0,0,0
404,-3278,1000000,1,0,0,0,0
453,-3229,1000000,0,0,0,0,0
498,-3184,1000000,1,0,0,0,0
541,-3141,1000000,0,0,0,0,0
546,-3136,1000000,1,0,0,0,0
558,-3124,1000000,0,0,0,0,0
588,-3094,1000000,1,0,0,0,0
631,-3051,1000000,0,0,0,0,0
677,-3005,1000000,1,0,0,0,0
720,-2962,1000000,0,0,0,0,0
725,-2957,1000000,1,0,0,0,0
731,-2951,1000000,0,0,0,0,0
767,-2915,1000000,1,0,0,0,0
810,-2872,1000000,0,0,0,0,0
855,-2827,1000000,1,0,0,0,0
898,-2784,1000000,0,0,0,0,0
908,-2774,1000000,1,0,0,0,0
914,-2768,1000000,0,0,0,0,0
919,-2763,1000000,1,0,0,0,0
925,-2757,1000000,0,0,0,0,0
945,-2737,1000000,1,0,0,0,0
988,-2694,1000000,0,0,0,0,0
1034,-2648,1000000,1,0,0,0,0
4096,414,1000000,1,0,0,0,0
