"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-3682,1000000,0,0,0,0,0
2,-3680,1000000,1,0,0,0,0
7,-3675,1000000,0,0,0,0,0
25,-3657,1000000,1,0,0,0,0
30,-3652,1000000,0,0,0,0,0
39,-3643,1000000,1,0,0,0,0
86,-3596,1000000,0,0,0,0,0
131,-3551,1000000,1,0,0,0,0
194,-3488,1000000,0,0,0,0,0
198,-3484,1000000,1,0,0,0,0
207,-3475,1000000,0,0,0,0,0
212,-3470,1000000,1,0,0,0,0
216,-3466,1000000,0,0,0,0,0
239,-3443,1000000,1,0,0,0,0
353,-3329,1000000,0,0,0,0,0
398,-3284,1000000,1,0,0,0,0
1616,-2066,1000000,0,0,0,0,0
1621,-2061,1000000,1,0,0,0,0
1625,-2057,1000000,0,0,0,0,0
1644,-2038,1000000,1,0,0,0,0
1648,-2034,1000000,0,0,0,0,0
1657,-2025,1000000,1,0,0,0,0
1719,-1963,1000000,0,0,0,0,0
1764,-1918,1000000,1,0,0,0,0
1826,-1856,1000000,0,0,0,0,0
1831,-1851,1000000,1,0,0,0,0
1840,-1842,1000000,0,0,0,0,0
1872,-1810,1000000,1,0,0,0,0
1922,-1760,1000000,0,0,0,0,0
1967,-1715,1000000,1,0,0,0,0
2049,-1633,1000000,0,0,0,0,0
2063,-1619,1000000,1,0,0,0,0
2068,-1614,1000000,0,0,0,0,0
2095,-1587,1000000,1,0,0,0,0
2126,-1556,1000000,0,0,0,0,0
2171,-1511,1000000,1,0,0,0,0
2236,-1446,1000000,0,0,0,0,0
2246,-1436,1000000,1,0,0,0,0
2250,-1432,1000000,0,0,0,0,0
2255,-1427,1000000,1,0,0,0,0
2259,-1423,1000000,0,0,0,0,0
2282,-1400,1000000,1,0,0,0,0
2361,-1321,1000000,0,0,0,0,0
2406,-1276,1000000,1,0,0,0,0
4096,414,1000000,1,0,0,0,0
