"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-3682,4000000,0,0,0,0,0
4,-3678,4000000,1,0,0,0,0
8,-3674,4000000,0,0,0,0,0
27,-3655,4000000,1,0,0,0,0
31,-3651,4000000,0,0,0,0,0
40,-3642,4000000,1,0,0,0,0
104,-3578,4000000,0,0,0,0,0
149,-3533,4000000,1,0,0,0,0
213,-3469,4000000,0,0,0,0,0
218,-3464,4000000,1,0,0,0,0
227,-3455,4000000,0,0,0,0,0
232,-3450,4000000,1,0,0,0,0
236,-3446,4000000,0,0,0,0,0
259,-3423,4000000,1,0,0,0,0
325,-3357,4000000,0,0,0,0,0
371,-3311,4000000,1,0,0,0,0
1142,-2540,4000000,0,0,0,0,0
1147,-2535,4000000,1,0,0,0,0
1151,-2531,4000000,0,0,0,0,0
1169,-2513,4000000,1,0,0,0,0
1174,-2508,4000000,0,0,0,0,0
1183,-2499,4000000,1,0,0,0,0
1301,-2381,4000000,0,0,0,0,0
1346,-2336,4000000,1,0,0,0,0
1411,-2271,4000000,0,0,0,0,0
1415,-2267,4000000,1,0,0,0,0
1420,-2262,4000000,0,0,0,0,0
1424,-2258,4000000,1,0,0,0,0
1433,-2249,4000000,0,0,0,0,0
1456,-2226,4000000,1,0,0,0,0
1490,-2192,4000000,0,0,0,0,0
1536,-2146,4000000,1,0,0,0,0
1597,-2085,4000000,0,0,0,0,0
1611,-2071,4000000,1,0,0,0,0
1616,-2066,4000000,0,0,0,0,0
1643,-2039,4000000,1,0,0,0,0
1671,-2011,4000000,0,0,0,0,0
1716,-1966,4000000,1,0,0,0,0
1889,-1793,4000000,0,0,0,0,0
1893,-1789,4000000,1,0,0,0,0
1898,-1784,4000000,0,0,0,0,0
1916,-1766,4000000,1,0,0,0,0
1921,-1761,4000000,0,0,0,0,0
1930,-1752,4000000,1,0,0,0,0
1996,-1686,4000000,0,0,0,0,0
2041,-1641,4000000,1,0,0,0,0
2203,-1479,4000000,0,0,0,0,0
2212,-1470,4000000,1,0,0,0,0
2221,-1461,4000000,0,0,0,0,0
2248,-1434,4000000,1,0,0,0,0
2348,-1334,4000000,0,0,0,0,0
2393,-1289,4000000,1,0,0,0,0
2458,-1224,4000000,0,0,0,0,0
2503,-1179,4000000,1,0,0,0,0
2533,-1149,4000000,0,0,0,0,0
2579,-1103,4000000,1,0,0,0,0
2644,-1038,4000000,0,0,0,0,0
2654,-1028,4000000,1,0,0,0,0
2658,-1024,4000000,0,0,0,0,0
2663,-1019,4000000,1,0,0,0,0
2667,-1015,4000000,0,0,0,0,0
2690,-992,4000000,1,0,0,0,0
2714,-968,4000000,0,0,0,0,0
2759,-923,4000000,1,0,0,0,0
4096,414,4000000,1,0,0,0,0
