"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-2042,2000000,0,0,0,0,0
2,-2040,2000000,1,0,0,0,0
7,-2035,2000000,0,0,0,0,0
25,-2017,2000000,1,0,0,0,0
29,-2013,2000000,0,0,0,0,0
38,-2004,2000000,1,0,0,0,0
74,-1968,2000000,0,0,0,0,0
119,-1923,2000000,1,0,0,0,0
180,-1862,2000000,0,0,0,0,0
184,-1858,2000000,1,0,0,0,0
193,-1849,2000000,0,0,0,0,0
198,-1844,2000000,1,0,0,0,0
203,-1839,2000000,0,0,0,0,0
225,-1817,2000000,1,0,0,0,0
336,-1706,2000000,0,0,0,0,0
382,-1660,2000000,1,0,0,0,0
1602,-440,2000000,0,0,0,0,0
1607,-435,2000000,1,0,0,0,0
1611,-431,2000000,0,0,0,0,0
1630,-412,2000000,1,0,0,0,0
1634,-408,2000000,0,0,0,0,0
1643,-399,2000000,1,0,0,0,0
1707,-335,2000000,0,0,0,0,0
1752,-290,2000000,1,0,0,0,0
1812,-230,2000000,0,0,0,0,0
1817,-225,2000000,1,0,0,0,0
1826,-216,2000000,0,0,0,0,0
1858,-184,2000000,1,0,0,0,0
1910,-132,2000000,0,0,0,0,0
1955,-87,2000000,1,0,0,0,0
2040,-2,2000000,0,0,0,0,0
2054,12,2000000,1,0,0,0,0
2058,16,2000000,0,0,0,0,0
2086,44,2000000,1,0,0,0,0
2114,72,2000000,0,0,0,0,0
2159,117,2000000,1,0,0,0,0
2222,180,2000000,0,0,0,0,0
2232,190,2000000,1,0,0,0,0
2236,194,2000000,0,0,0,0,0
2241,199,2000000,1,0,0,0,0
2245,203,2000000,0,0,0,0,0
2268,226,2000000,1,0,0,0,0
2294,252,2000000,0,0,0,0,0
2340,298,2000000,1,0,0,0,0
4096,2054,2000000,1,0,0,0,0
