"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-2042,20000,0,0,0,0,0
1,-2041,20000,1,0,0,0,0
4,-2038,20000,0,0,0,0,0
5,-2037,20000,1,0,0,0,0
6,-2036,20000,0,0,0,0,0
8,-2034,20000,1,0,0,0,0
9,-2033,20000,0,0,0,0,0
10,-2032,20000,1,0,0,0,0
36,-2006,20000,0,0,0,0,0
37,-2005,20000,1,0,0,0,0
38,-2004,20000,0,0,0,0,0
39,-2003,20000,1,0,0,0,0
44,-1998,20000,0,0,0,0,0
45,-1997,20000,1,0,0,0,0
49,-1993,20000,0,0,0,0,0
50,-1992,20000,1,0,0,0,0
59,-1983,20000,0,0,0,0,0
60,-1982,20000,1,0,0,0,0
62,-1980,20000,0,0,0,0,0
63,-1979,20000,1,0,0,0,0
64,-1978,20000,0,0,0,0,0
65,-1977,20000,1,0,0,0,0
67,-1975,20000,0,0,0,0,0
68,-1974,20000,1,0,0,0,0
69,-1973,20000,0,0,0,0,0
70,-1972,20000,1,0,0,0,0
75,-1967,20000,0,0,0,0,0
76,-1966,20000,1,0,0,0,0
77,-1965,20000,0,0,0,0,0
79,-1963,20000,1,0,0,0,0
86,-1956,20000,0,0,0,0,0
87,-1955,20000,1,0,0,0,0
89,-1953,20000,0,0,0,0,0
90,-1952,20000,1,0,0,0,0
95,-1947,20000,0,0,0,0,0
96,-1946,20000,1,0,0,0,0
97,-1945,20000,0,0,0,0,0
98,-1944,20000,1,0,0,0,0
100,-1942,20000,0,0,0,0,0
101,-1941,20000,1,0,0,0,0
102,-1940,20000,0,0,0,0,0
103,-1939,20000,1,0,0,0,0
1632,-410,20000,0,0,0,0,0
1633,-409,20000,1,0,0,0,0
1639,-403,20000,0,0,0,0,0
1640,-402,20000,1,0,0,0,0
4096,2054,20000,1,0,0,0,0
