"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-3682,1000000,0,0,0,0,0
4,-3678,1000000,1,0,0,0,0
8,-3674,1000000,0,0,0,0,0
27,-3655,1000000,1,0,0,0,0
31,-3651,1000000,0,0,0,0,0
40,-3642,1000000,1,0,0,0,0
100,-3582,1000000,0,0,0,0,0
145,-3537,1000000,1,0,0,0,0
214,-3468,1000000,0,0,0,0,0
218,-3464,1000000,1,0,0,0,0
227,-3455,1000000,0,0,0,0,0
232,-3450,1000000,1,0,0,0,0
236,-3446,1000000,0,0,0,0,0
259,-3423,1000000,1,0,0,0,0
317,-3365,1000000,0,0,0,0,0
362,-3320,1000000,1,0,0,0,0
1458,-2224,1000000,0,0,0,0,0
1463,-2219,1000000,1,0,0,0,0
1467,-2215,1000000,0,0,0,0,0
1486,-2196,1000000,1,0,0,0,0
1490,-2192,1000000,0,0,0,0,0
1499,-2183,1000000,1,0,0,0,0
1583,-2099,1000000,0,0,0,0,0
1628,-2054,1000000,1,0,0,0,0
1713,-1969,1000000,0,0,0,0,0
1718,-1964,1000000,1,0,0,0,0
1723,-1959,1000000,0,0,0,0,0
1727,-1955,1000000,1,0,0,0,0
1736,-1946,1000000,0,0,0,0,0
1759,-1923,1000000,1,0,0,0,0
1791,-1891,1000000,0,0,0,0,0
1836,-1846,1000000,1,0,0,0,0
1919,-1763,1000000,0,0,0,0,0
1923,-1759,1000000,1,0,0,0,0
1937,-1745,1000000,0,0,0,0,0
1964,-1718,1000000,1,0,0,0,0
2008,-1674,1000000,0,0,0,0,0
2053,-1629,1000000,1,0,0,0,0
2320,-1362,1000000,0,0,0,0,0
2324,-1358,1000000,1,0,0,0,0
2329,-1353,1000000,0,0,0,0,0
2347,-1335,1000000,1,0,0,0,0
2352,-1330,1000000,0,0,0,0,0
2361,-1321,1000000,1,0,0,0,0
2401,-1281,1000000,0,0,0,0,0
2446,-1236,1000000,1,0,0,0,0
2534,-1148,1000000,0,0,0,0,0
2543,-1139,1000000,1,0,0,0,0
2552,-1130,1000000,0,0,0,0,0
2580,-1102,1000000,1,0,0,0,0
2627,-1055,1000000,0,0,0,0,0
2673,-1009,1000000,1,0,0,0,0
2757,-925,1000000,0,0,0,0,0
2794,-888,1000000,1,0,0,0,0
2799,-883,1000000,0,0,0,0,0
2803,-879,1000000,1,0,0,0,0
2831,-851,1000000,0,0,0,0,0
2876,-806,1000000,1,0,0,0,0
3072,-610,1000000,0,0,0,0,0
3118,-564,1000000,1,0,0,0,0
3143,-539,1000000,0,0,0,0,0
3188,-494,1000000,1,0,0,0,0
3501,-181,1000000,0,0,0,0,0
3505,-177,1000000,1,0,0,0,0
3510,-172,1000000,0,0,0,0,0
3528,-154,1000000,1,0,0,0,0
3533,-149,1000000,0,0,0,0,0
3542,-140,1000000,1,0,0,0,0
3627,-55,1000000,0,0,0,0,0
3672,-10,1000000,1,0,0,0,0
3879,197,1000000,0,0,0,0,0
3884,202,1000000,1,0,0,0,0
3888,206,1000000,0,0,0,0,0
3893,211,1000000,1,0,0,0,0
3897,215,1000000,0,0,0,0,0
3925,243,1000000,1,0,0,0,0
3975,293,1000000,0,0,0,0,0
4020,338,1000000,1,0,0,0,0
4084,402,1000000,0,0,0,0,0
4096,414,1000000,0,0,0,0,0
