"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-3682,1000000,0,0,0,0,0
4,-3678,1000000,1,0,0,0,0
8,-3674,1000000,0,0,0,0,0
27,-3655,1000000,1,0,0,0,0
31,-3651,1000000,0,0,0,0,0
40,-3642,1000000,1,0,0,0,0
115,-3567,1000000,0,0,0,0,0
160,-3522,1000000,1,0,0,0,0
222,-3460,1000000,0,0,0,0,0
227,-3455,1000000,1,0,0,0,0
236,-3446,1000000,0,0,0,0,0
241,-3441,1000000,1,0,0,0,0
245,-3437,1000000,0,0,0,0,0
268,-3414,1000000,1,0,0,0,0
327,-3355,1000000,0,0,0,0,0
373,-3309,1000000,1,0,0,0,0
1412,-2270,1000000,0,0,0,0,0
1417,-2265,1000000,1,0,0,0,0
1422,-2260,1000000,0,0,0,0,0
1440,-2242,1000000,1,0,0,0,0
1444,-2238,1000000,0,0,0,0,0
1454,-2228,1000000,1,0,0,0,0
1490,-2192,1000000,0,0,0,0,0
1535,-2147,1000000,1,0,0,0,0
1599,-2083,1000000,0,0,0,0,0
1604,-2078,1000000,1,0,0,0,0
1608,-2074,1000000,0,0,0,0,0
1613,-2069,1000000,1,0,0,0,0
1622,-2060,1000000,0,0,0,0,0
1645,-2037,1000000,1,0,0,0,0
1679,-2003,1000000,0,0,0,0,0
1725,-1957,1000000,1,0,0,0,0
1791,-1891,1000000,0,0,0,0,0
1795,-1887,1000000,1,0,0,0,0
1809,-1873,1000000,0,0,0,0,0
1836,-1846,1000000,1,0,0,0,0
1860,-1822,1000000,0,0,0,0,0
1906,-1776,1000000,1,0,0,0,0
2197,-1485,1000000,0,0,0,0,0
2201,-1481,1000000,1,0,0,0,0
2206,-1476,1000000,0,0,0,0,0
2224,-1458,1000000,1,0,0,0,0
2228,-1454,1000000,0,0,0,0,0
2238,-1444,1000000,1,0,0,0,0
2290,-1392,1000000,0,0,0,0,0
2335,-1347,1000000,1,0,0,0,0
2402,-1280,1000000,0,0,0,0,0
2411,-1271,1000000,1,0,0,0,0
2420,-1262,1000000,0,0,0,0,0
2447,-1235,1000000,1,0,0,0,0
2502,-1180,1000000,0,0,0,0,0
2548,-1134,1000000,1,0,0,0,0
2607,-1075,1000000,0,0,0,0,0
2653,-1029,1000000,1,0,0,0,0
2683,-999,1000000,0,0,0,0,0
2729,-953,1000000,1,0,0,0,0
2789,-893,1000000,0,0,0,0,0
2808,-874,1000000,1,0,0,0,0
2812,-870,1000000,0,0,0,0,0
2817,-865,1000000,1,0,0,0,0
2821,-861,1000000,0,0,0,0,0
2835,-847,1000000,1,0,0,0,0
2860,-822,1000000,0,0,0,0,0
2905,-777,1000000,1,0,0,0,0
3314,-368,1000000,0,0,0,0,0
3318,-364,1000000,1,0,0,0,0
3323,-359,1000000,0,0,0,0,0
3341,-341,1000000,1,0,0,0,0
3345,-337,1000000,0,0,0,0,0
3355,-327,1000000,1,0,0,0,0
3398,-284,1000000,0,0,0,0,0
3443,-239,1000000,1,0,0,0,0
3505,-177,1000000,0,0,0,0,0
3510,-172,1000000,1,0,0,0,0
3514,-168,1000000,0,0,0,0,0
3519,-163,1000000,1,0,0,0,0
3523,-159,1000000,0,0,0,0,0
3551,-131,1000000,1,0,0,0,0
3601,-81,1000000,0,0,0,0,0
3646,-36,1000000,1,0,0,0,0
3856,174,1000000,0,0,0,0,0
3879,197,1000000,1,0,0,0,0
3883,201,1000000,0,0,0,0,0
3893,211,1000000,1,0,0,0,0
3897,215,1000000,0,0,0,0,0
3902,220,1000000,1,0,0,0,0
3927,245,1000000,0,0,0,0,0
3972,290,1000000,1,0,0,0,0
4096,414,1000000,1,0,0,0,0
