"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-3682,4000000,0,0,0,0,0
3,-3679,4000000,1,0,0,0,0
8,-3674,4000000,0,0,0,0,0
26,-3656,4000000,1,0,0,0,0
31,-3651,4000000,0,0,0,0,0
40,-3642,4000000,1,0,0,0,0
81,-3601,4000000,0,0,0,0,0
126,-3556,4000000,1,0,0,0,0
213,-3469,4000000,0,0,0,0,0
217,-3465,4000000,1,0,0,0,0
226,-3456,4000000,0,0,0,0,0
231,-3451,4000000,1,0,0,0,0
235,-3447,4000000,0,0,0,0,0
258,-3424,4000000,1,0,0,0,0
315,-3367,4000000,0,0,0,0,0
361,-3321,4000000,1,0,0,0,0
1975,-1707,4000000,0,0,0,0,0
1980,-1702,4000000,1,0,0,0,0
1984,-1698,4000000,0,0,0,0,0
2003,-1679,4000000,1,0,0,0,0
2007,-1675,4000000,0,0,0,0,0
2016,-1666,4000000,1,0,0,0,0
2077,-1605,4000000,0,0,0,0,0
2122,-1560,4000000,1,0,0,0,0
2308,-1374,4000000,0,0,0,0,0
2312,-1370,4000000,1,0,0,0,0
2322,-1360,4000000,0,0,0,0,0
2353,-1329,4000000,1,0,0,0,0
2402,-1280,4000000,0,0,0,0,0
2448,-1234,4000000,1,0,0,0,0
2549,-1133,4000000,0,0,0,0,0
2595,-1087,4000000,1,0,0,0,0
2624,-1058,4000000,0,0,0,0,0
2669,-1013,4000000,1,0,0,0,0
2754,-928,4000000,0,0,0,0,0
2763,-919,4000000,1,0,0,0,0
2768,-914,4000000,0,0,0,0,0
2772,-910,4000000,1,0,0,0,0
2777,-905,4000000,0,0,0,0,0
2800,-882,4000000,1,0,0,0,0
2827,-855,4000000,0,0,0,0,0
2872,-810,4000000,1,0,0,0,0
4096,414,4000000,1,0,0,0,0
