"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-406,100000,0,0,0,0,0
5,-401,100000,1,0,0,0,0
19,-387,100000,0,0,0,0,0
25,-381,100000,1,0,0,0,0
35,-371,100000,0,0,0,0,0
36,-370,100000,1,0,0,0,0
37,-369,100000,0,0,0,0,0
40,-366,100000,1,0,0,0,0
47,-359,100000,0,0,0,0,0
53,-353,100000,1,0,0,0,0
212,-194,100000,0,0,0,0,0
218,-188,100000,1,0,0,0,0
226,-180,100000,0,0,0,0,0
232,-174,100000,1,0,0,0,0
243,-163,100000,0,0,0,0,0
247,-159,100000,1,0,0,0,0
254,-152,100000,0,0,0,0,0
259,-147,100000,1,0,0,0,0
272,-134,100000,0,0,0,0,0
277,-129,100000,1,0,0,0,0
283,-123,100000,0,0,0,0,0
288,-118,100000,1,0,0,0,0
313,-93,100000,0,0,0,0,0
314,-92,100000,1,0,0,0,0
315,-91,100000,0,0,0,0,0
319,-87,100000,1,0,0,0,0
327,-79,100000,0,0,0,0,0
333,-73,100000,1,0,0,0,0
4096,3690,100000,1,0,0,0,0
